1216,統一,78.9,3.00 ,3.80%,4.00%,#N/A,#N/A
1229,聯華,49.15,1.25 ,2.54%,3.50%,#N/A,#N/A
1712,興農,42.75,#N/A,#N/A,3.00%,#N/A,#N/A
1210,大成,53.3,#N/A,#N/A,2.75%,#N/A,#N/A
1215,卜蜂,135,#N/A,#N/A,2.75%,#N/A,#N/A
1231,聯華食,135,1.50 ,1.11%,2.75%,#N/A,#N/A
1227,佳格,30.45,0.90 ,2.96%,1.25%,#N/A,#N/A
1702,南僑,39.7,1.30 ,3.27%,0.50%,#N/A,#N/A
4205,中華食,89.7,3.40 ,3.79%,0.25%,#N/A,#N/A
1234,黑松,39.35,1.60 ,4.07%,0.25%,#N/A,#N/A
1240,茂生,60.3,#N/A,#N/A,#N/A,#N/A,#N/A
7705,三商餐飲,#REF!,0.50 ,#REF!,#N/A,#N/A,#REF!
1720,生達,56.8,2.50 ,4.40%,2.75%,#N/A,#N/A
4104,佳醫,88.4,3.60 ,4.07%,2.00%,#N/A,#N/A
1788,杏昌,138.5,6.80 ,4.91%,1.00%,#N/A,#N/A
4107,邦特,119.5,4.50 ,3.77%,1.00%,#N/A,#N/A
3705,永信,56.7,2.30 ,4.06%,1.00%,#N/A,#N/A
4126,太醫,89.5,4.00 ,4.47%,0.75%,#N/A,#N/A
3716,中化,33.85,1.20 ,3.55%,#N/A,#N/A,#N/A
4114,健喬,35.15,0.50 ,1.42%,0.50%,#N/A,#N/A
1777,生泰,77.8,2.80 ,3.60%,0.25%,#N/A,#N/A
1731,美吾華,21.85,1.20 ,5.49%,0.25%,#N/A,#N/A
4119,旭富,61,0.60 ,0.98%,0.25%,#N/A,#N/A
4164,承業醫,50.1,1.00 ,2.00%,0.25%,#N/A,#N/A
8403,盛弘,25.6,0.40 ,1.56%,0.25%,#N/A,#N/A
2891,中信金,41.75,1.90 ,4.55%,0.75%,#N/A,#N/A
2885,元大金,33.6,1.45 ,4.32%,1.00%,#N/A,#N/A
1513,中興電,164,4.80 ,2.93%,0.75%,#N/A,#N/A
2548,華固,102,5.50 ,5.39%,0.50%,#N/A,#N/A
5209,新鼎,152.5,8.50 ,5.57%,0.50%,#N/A,#N/A
2546,根基,82.8,3.50 ,4.23%,0.50%,#N/A,#N/A
2597,潤弘,154.5,6.70 ,4.34%,0.50%,#N/A,#N/A
2535,達欣工,59.1,4.00 ,6.77%,0.50%,#N/A,#N/A
1101,台泥,22.3,#N/A,#N/A,#N/A,#N/A,#N/A
6192,巨路,111,5.00 ,4.50%,0.50%,#N/A,#N/A
9930,中聯資,71.7,4.30 ,6.00%,0.50%,#N/A,#N/A
2211,長榮鋼,92.9,5.50 ,5.92%,0.50%,#N/A,#N/A
8926,台汽電,48.55,2.10 ,4.33%,7.50%,#N/A,#N/A
6803,崑鼎,289.5,15.35 ,5.30%,2.00%,#N/A,#N/A
9911,櫻花,86.9,4.70 ,5.41%,0.75%,#N/A,#N/A
4506,崇友,125,4.70 ,3.76%,0.75%,#N/A,#N/A
4580,捷流閥業,83.6,3.20 ,3.83%,0.50%,#N/A,#N/A
9942,茂順,110.5,5.00 ,4.52%,0.50%,#N/A,#N/A
8422,可寧衛,200,10.70 ,5.35%,0.50%,#N/A,#N/A
6581,鋼聯,111.5,4.90 ,4.39%,0.50%,#N/A,#N/A
1726,永記,75,3.60 ,4.80%,0.50%,#N/A,#N/A
6790,永豐實,38.7,2.30 ,5.94%,0.25%,#N/A,#N/A
9917,中保科,113,5.00 ,4.42%,0.25%,#N/A,#N/A
2065,世豐,32.2,0.60 ,1.86%,#N/A,#N/A,#N/A
8341,日友,74.7,3.80 ,5.09%,0.25%,#N/A,#N/A
1730,花仙子,52.7,3.00 ,5.69%,1.25%,#N/A,#N/A
8424,惠普,73.5,4.70 ,6.39%,1.25%,#N/A,#N/A
5871,中租-KY,116.5,4.30 ,3.69%,1.00%,#N/A,#N/A
9941,裕融,98.6,3.70 ,3.75%,4.50%,#N/A,#N/A
6592,和潤,70.2,1.90 ,2.71%,#N/A,#N/A,#N/A
2886,兆豐金,40.85,1.60 ,3.92%,2.00%,#N/A,#N/A
2330,台積電,1180,20.00 ,1.69%,1.50%,#N/A,#N/A
5434,崇越,296.5,11.00 ,3.71%,1.50%,#N/A,#N/A
3010,華立,99,4.70 ,4.75%,1.50%,#N/A,#N/A
3005,神基,162,6.00 ,3.70%,1.00%,#N/A,#N/A
3702,大聯大,65.7,3.50 ,5.33%,1.25%,#N/A,#N/A
5483,中美晶,104.5,3.00 ,2.87%,0.50%,#N/A,#N/A
3023,信邦,219,8.50 ,3.88%,1.00%,#N/A,#N/A
