股票名稱,佔比,圖檔,總體趨勢分析,支撐位與阻力位,結合技術指標,技術型態,投資決策建議
大統益,149.5,https://biung-od.github.io/personal/image/1232.png,長期趨勢呈現震盪整理，短期趨勢有下降跡象,主要支撐位在146.7，主要阻力位在152.0，突破點可能在150.0附近,MACD指標顯示動能減弱，RSI指標在中性區域，布林帶顯示波動性增加，量價關係顯示成交量增加但價格下降,未出現明顯的頭肩型態或雙底，可能出現趨勢反轉,建議觀察150.0附近的支撐位，若跌破可考慮賣出，注意市場波動性和成交量變化
聯華,48.85,https://biung-od.github.io/personal/image/1229.png,長期趨勢呈現下降趨勢，短期趨勢呈現下降趨勢,主要支撐位在45.00，主要阻力位在45.50，突破點在2025年3月,MACD顯示空頭趨勢，RSI顯示超賣，布林帶顯示波動加劇，量價關係顯示成交量增加伴隨價格下跌,未出現頭肩型態或雙底，趨勢反轉可能性低,建議賣出，注意市場波動風險
大成,53.6,https://biung-od.github.io/personal/image/1210.png,長期趨勢呈現上升趨勢，短期趨勢有波動但呈現上升跡象,主要支撐位在58.00，主要阻力位在59.00，突破點在58.40附近,MACD顯示多頭趨勢，RSI在70左右，布林帶顯示價格在上軌附近，量價關係顯示成交量增加,出現頭肩型態，可能即將發生趨勢反轉,建議在突破59.00時買入，在跌破58.00時賣出，注意市場波動和政策風險
卜蜂,135.0,https://biung-od.github.io/personal/image/1215.png,長期趨勢呈現下降趨勢，短期趨勢也呈現下降趨勢,主要支撐位在45.00，主要阻力位在45.45，突破點在45.00附近，轉折點在45.45附近,MACD顯示空頭趨勢，RSI顯示超賣狀態，布林帶顯示價格在下軌附近，量價關係顯示成交量增加但價格下降,出現頭肩型態，可能即將發生趨勢反轉,建議賣出，注意價格可能繼續下跌的風險
統一,76.7,https://biung-od.github.io/personal/image/1216.png,長期趨勢呈現上升趨勢，短期趨勢顯示震盪整理,主要支撐位在60.5，主要阻力位在62.5，突破點在61.7附近,MACD顯示多頭趨勢，RSI在中性偏高區域，布林帶顯示價格接近上軌波動，量價關係顯示近期成交量穩定,未出現明顯的頭肩型態或雙底型態，整體型態顯示趨勢保持穩定上升,建議在支撐位附近買入，在阻力位附近賣出，注意市場短期波動和長期上升的持續性
興農,42.05,https://biung-od.github.io/personal/image/1712.png,長期趨勢呈現上升趨勢，但短期趨勢顯示下降趨勢,主要支撐位在40.65，主要阻力位在42.46，突破點在40.80附近,MACD顯示近期有下降趨勢，RSI顯示超賣狀態，布林帶顯示價格在下軌附近，量價關係顯示近期成交量增加但價格下降,出現頭肩型態，可能即將發生趨勢反轉,建議觀察40.65支撐位，若跌破可考慮賣出，注意近期價格波動和成交量變化
聯華食,135.0,https://biung-od.github.io/personal/image/1231.png,長期趨勢呈現上升趨勢，短期趨勢有波動但整體仍在上升,主要支撐位在130.5，主要阻力位在134.5，突破點在2024年7月，轉折點在2025年3月,MACD顯示多頭趨勢，RSI在高位，布林帶顯示價格波動加劇，量價關係顯示成交量增加伴隨價格上升,出現頭肩型態，雙底型態，推測可能即將發生趨勢反轉,建議在支撐位附近買入，在阻力位附近賣出，注意市場波動風險和政策變動機會
佳格,30.25,https://biung-od.github.io/personal/image/1227.png,長期趨勢呈現下降趨勢，短期趨勢也呈現下降趨勢,主要支撐位在33.00，主要阻力位在33.85，突破點在33.35附近,MACD顯示空頭趨勢，RSI顯示超賣狀態，布林帶顯示價格在下軌附近，量價關係顯示成交量增加伴隨價格下跌,出現頭肩型態，可能即將發生趨勢反轉,建議觀察是否突破33.35阻力位，若突破可考慮買入，若未突破則建議賣出，注意市場波動風險
中華食,89.2,https://biung-od.github.io/personal/image/4205.png,長期趨勢為下降趨勢，短期趨勢有反彈跡象,主要支撐位在91.4，主要阻力位在95.4，突破點在92.2附近,MACD顯示短期內有反彈跡象，RSI在中性區域，布林帶顯示波動性增加，量價關係顯示近期有買盤進場,未見明顯的頭肩型態或雙底型態，短期內可能有反彈但長期趨勢仍偏空,建議短期內可考慮逢低買入，但需注意長期下降趨勢的風險，若跌破91.4需謹慎
黑松,39.50,https://biung-od.github.io/personal/image/1234.png,長期趨勢呈現下降趨勢，短期趨勢近期有急劇下跌跡象,主要支撐位在38.55，主要阻力位在39.70，突破點在2024年中期附近,MACD顯示出近期有明顯的死叉，RSI顯示超賣狀態，布林帶顯示價格在下軌附近波動，量價關係顯示近期成交量增加但價格下跌,出現頭肩頂型態，並在2025年初有趨勢反轉跡象,建議在價格接近支撐位時考慮買入，接近阻力位時考慮賣出，需留意急劇下跌帶來的風險以及成交量增加帶來的機會
茂生,65.8,https://biung-od.github.io/personal/image/1240.png,長期趨勢呈現上升趨勢，短期趨勢有波動但整體仍在上升,主要支撐位在57.9，主要阻力位在68.0，突破點在65.0附近,MACD顯示多頭趨勢，RSI在70以上顯示超買，布林帶顯示價格在上軌附近，量價關係顯示成交量增加伴隨價格上升,出現了多頭排列，沒有明顯的頭肩型態或雙底,建議在突破阻力位後買入，注意短期波動風險
杏昌,139.5,https://biung-od.github.io/personal/image/1788.png,長期趨勢呈現下降趨勢，短期趨勢有反彈跡象,主要支撐位在142.1，主要阻力位在143.2，突破點在142.5附近,MACD顯示短期反彈，RSI在中性區域，布林帶顯示波動加劇，量價關係顯示近期交易量增加,未出現明顯的頭肩型態或雙底，可能有短期反彈但長期趨勢仍偏弱,建議短期內觀察反彈力度，長期投資需謹慎，注意市場波動和潛在風險
生達,56.4,https://biung-od.github.io/personal/image/1720.png,長期趨勢顯示下降，短期趨勢有反彈跡象,主要支撐位在57.8，主要阻力位在59.5，突破點在58.0附近,MACD顯示近期有黃金交叉，RSI從超賣區域反彈至中性區域，布林帶顯示價格沿下軌震盪且波動擴大，量價關係顯示近期成交量增加伴隨價格反彈,未出現明顯的頭肩型態或雙底，但有潛在反轉跡象,建議在價格突破58.0時可考慮買入，並在接近阻力位59.5時賣出，需密切注意支撐位57.8的表現，若跌破可能進一步下跌
中化,33.90,https://biung-od.github.io/personal/image/3716.png,長期趨勢呈現下降趨勢，短期趨勢有反彈跡象,主要支撐位在34.30，主要阻力位在35.73，突破點在34.75附近,MACD顯示短期反彈，RSI接近超賣區，布林帶顯示波動加大，量價關係顯示近期成交量增加,未見明顯頭肩型態或雙底，可能出現短期反彈,建議短期內觀察反彈力度，若突破35.73可考慮買入，若跌破34.30需謹慎，注意市場波動風險
太醫,90.5,https://biung-od.github.io/personal/image/4126.png,長期趨勢呈現上升趨勢，短期趨勢有波動但整體仍在上升趨勢中,主要支撐位在92.0，主要阻力位在93.5，突破點在93.5附近，轉折點在92.0附近,MACD顯示多頭趨勢，RSI在中性區域，布林帶顯示價格在中軌附近，量價關係顯示成交量增加時價格上升,未出現明顯的頭肩型態或雙底，可能出現趨勢反轉,建議在支撐位附近買入，在阻力位附近賣出，注意市場波動和成交量變化
中聯資,71.8,https://biung-od.github.io/personal/image/9930.png,長期趨勢呈現上升趨勢，短期趨勢有波動但整體仍在上升通道中,主要支撐位在60.8，主要阻力位在68.8，突破點在2024年8月，轉折點在2025年4月,MACD顯示多頭趨勢，RSI在50-70之間，布林帶顯示價格在中軌上方，量價關係顯示成交量隨價格上升而增加,出現多次頭肩型態和雙底型態，可能預示趨勢反轉,建議在支撐位附近買入，在阻力位附近賣出，注意市場波動風險和政策變動機會
佳醫,87.0,https://biung-od.github.io/personal/image/4104.png,長期趨勢呈現震盪整理，短期趨勢近期有下跌跡象,主要支撐位在88.4，主要阻力位在89.3，突破點在89.3，轉折點在88.4,MACD顯示空頭趨勢，RSI在中性區域，布林帶顯示波動性增加，量價關係顯示近期賣壓增加,未出現明顯的頭肩型態或雙底，無法推測即將發生趨勢反轉,建議觀察88.4支撐位，若跌破可考慮賣出，若突破89.3可考慮買入，注意近期波動性增加的風險
