股名,股價
名稱,股價
大統益,152.0
聯華,44.40
大成,51.2
卜蜂,156.0
惠普,76.3
統一,73.9
臺慶科,181.5
興農,46.70
聯華食,85.4
佳格,29.90
中華食,77.2
黑松,37.25
茂生,59.0
杏昌,136.5
生達,63.7
中化,34.00
太醫,80.4
中聯資,71.8
佳醫,77.8
邦特,122.0
健喬,31.75
中興電,165.5
華固,114.0
根基,88.1
潤弘,170.5
達欣工,72.4
台泥,25.90
巨路,126.5
長榮鋼,101.5
崑鼎,299.0
可寧衛,32.70
櫻花,89.0
日友,79.3
崇友,117.0
鋼聯,110.0
捷流閥業,80.5
茂順,117.5
世豐,30.00
永記,77.5
永豐實,39.95
中租-KY,102.5
裕融,74.2
和潤,58.9
兆豐金,40.40
台中銀,20.75
台積電,"1,935"
崇越,329.5
中美晶,114.0
信邦,237.0
華立,120.5
神基,123.0
晶焱,84.8
大聯大,67.5
聯強,69.5
中菲,110.5
精誠,112.0
文曄,178.0
日電貿,94.1
關貿,95.2
零壹,119.0
邁達特,46.00
普萊德,124.0
三福化,144.5
達興材,388.0
桂盟,92.2
中菲行,79.9
台驊,68.1
元大金,47.25
中信金,53.5
永豐金,33.10
花仙子,53.4
永信,55.0
聚鼎,42.80
世鎧,26.60
泰山,18.10
生泰,72.5
晟德,44.90
嘉泥,14.00
福壽,13.55
凌群,52.2
旭富,51.8
承業醫,32.15
盛弘,23.30
新鼎,168.5
凡甲,289.5
京城銀,-
信紘科,265.5
開發金,21.35
美吾華,22.10
南僑,38.00
漢科,132.0
長榮航太,171.0
美時,268.0
致伸,75.7
力泰,88.4
耕興,191.0
台汽電,46.80
資通,49.85
皇家可口,-
中保科,107.0
大東電,-
三商餐飲,37.95
台灣積層,-
青新-創,74.5
悠遊卡,-
南光,37.00
南寶,327.5
穩得,159.5
溫士頓,83.2
欣陸,22.30
大盤,"34,323.65"
50,78.75
