股票名稱,佔比,圖檔
大統益,8.00%,https://biung-od.github.io/personal/image/1232.png
聯華,5.00%,https://biung-od.github.io/personal/image/1229.png
大成,0.00%,https://biung-od.github.io/personal/image/1210.png
卜蜂,0.00%,https://biung-od.github.io/personal/image/1215.png
統一,6.50%,https://biung-od.github.io/personal/image/1216.png
興農,0.00%,https://biung-od.github.io/personal/image/1712.png
聯華食,4.75%,https://biung-od.github.io/personal/image/1231.png
佳格,1.00%,https://biung-od.github.io/personal/image/1227.png
中華食,0.50%,https://biung-od.github.io/personal/image/4205.png
黑松,0.50%,https://biung-od.github.io/personal/image/1234.png
茂生,0.00%,https://biung-od.github.io/personal/image/1240.png
杏昌,1.00%,https://biung-od.github.io/personal/image/1788.png
生達,2.75%,https://biung-od.github.io/personal/image/1720.png
中化,0.50%,https://biung-od.github.io/personal/image/3716.png
太醫,0.75%,https://biung-od.github.io/personal/image/4126.png
中聯資,0.50%,https://biung-od.github.io/personal/image/9930.png
佳醫,2.00%,https://biung-od.github.io/personal/image/4104.png
邦特,1.00%,https://biung-od.github.io/personal/image/4107.png
健喬,0.50%,https://biung-od.github.io/personal/image/4114.png
中興電,1.00%,https://biung-od.github.io/personal/image/1513.png
臺慶科,0.25%,https://biung-od.github.io/personal/image/3357.png
惠普,0.50%,https://biung-od.github.io/personal/image/8424.png
華固,1.00%,https://biung-od.github.io/personal/image/2548.png
根基,0.50%,https://biung-od.github.io/personal/image/2546.png
潤弘,0.50%,https://biung-od.github.io/personal/image/2597.png
達欣工,0.50%,https://biung-od.github.io/personal/image/2535.png
台泥,0.50%,https://biung-od.github.io/personal/image/1101.png
巨路,0.50%,https://biung-od.github.io/personal/image/6192.png
長榮鋼,0.50%,https://biung-od.github.io/personal/image/2211.png
崑鼎,7.50%,https://biung-od.github.io/personal/image/6803.png
可寧衛,0.50%,https://biung-od.github.io/personal/image/8422.png
櫻花,2.50%,https://biung-od.github.io/personal/image/9911.png
日友,0.25%,https://biung-od.github.io/personal/image/8341.png
崇友,2.00%,https://biung-od.github.io/personal/image/4506.png
鋼聯,0.50%,https://biung-od.github.io/personal/image/6581.png
捷流閥業,0.75%,https://biung-od.github.io/personal/image/4580.png
茂順,0.75%,https://biung-od.github.io/personal/image/9942.png
世豐,0.25%,https://biung-od.github.io/personal/image/2065.png
永記,0.50%,https://biung-od.github.io/personal/image/1726.png
永豐實,0.50%,https://biung-od.github.io/personal/image/6790.png
中租-KY,1.50%,https://biung-od.github.io/personal/image/5871.png
裕融,1.50%,https://biung-od.github.io/personal/image/9941.png
和潤,1.50%,https://biung-od.github.io/personal/image/6592.png
兆豐金,1.00%,https://biung-od.github.io/personal/image/2886.png
台中銀,0.50%,https://biung-od.github.io/personal/image/2812.png
台積電,4.50%,https://biung-od.github.io/personal/image/2330.png
崇越,3.00%,https://biung-od.github.io/personal/image/5434.png
中美晶,2.50%,https://biung-od.github.io/personal/image/5483.png
信邦,1.25%,https://biung-od.github.io/personal/image/3023.png
華立,2.00%,https://biung-od.github.io/personal/image/3010.png
神基,1.50%,https://biung-od.github.io/personal/image/3005.png
晶焱,0.50%,https://biung-od.github.io/personal/image/6411.png
大聯大,1.50%,https://biung-od.github.io/personal/image/3702.png
聯強,1.00%,https://biung-od.github.io/personal/image/2347.png
中菲,1.00%,https://biung-od.github.io/personal/image/5403.png
精誠,0.75%,https://biung-od.github.io/personal/image/6214.png
文曄,0.50%,https://biung-od.github.io/personal/image/3036.png
日電貿,0.50%,https://biung-od.github.io/personal/image/3090.png
關貿,0.50%,https://biung-od.github.io/personal/image/6183.png
零壹,0.75%,https://biung-od.github.io/personal/image/3029.png
邁達特,0.00%,https://biung-od.github.io/personal/image/6112.png
普萊德,0.75%,https://biung-od.github.io/personal/image/6263.png
三福化,0.50%,https://biung-od.github.io/personal/image/4755.png
達興材,0.50%,https://biung-od.github.io/personal/image/5234.png
桂盟,0.50%,https://biung-od.github.io/personal/image/5306.png
中菲行,1.50%,https://biung-od.github.io/personal/image/5609.png
台驊,1.00%,https://biung-od.github.io/personal/image/2636.png
元大金,0.75%,https://biung-od.github.io/personal/image/2885.png
中信金,0.75%,https://biung-od.github.io/personal/image/2891.png
永豐金,0.00%,https://biung-od.github.io/personal/image/2890.png
花仙子,0.25%,https://biung-od.github.io/personal/image/1730.png
永信,0.50%,https://biung-od.github.io/personal/image/3705.png
聚鼎,0.00%,https://biung-od.github.io/personal/image/6224.png
世鎧,0.00%,https://biung-od.github.io/personal/image/2063.png
泰山,0.00%,https://biung-od.github.io/personal/image/1218.png
生泰,0.25%,https://biung-od.github.io/personal/image/1777.png
晟德,0.00%,https://biung-od.github.io/personal/image/4123.png
嘉泥,0.00%,https://biung-od.github.io/personal/image/1103.png
福壽,0.00%,https://biung-od.github.io/personal/image/1219.png
凌群,0.50%,https://biung-od.github.io/personal/image/2453.png
旭富,0.25%,https://biung-od.github.io/personal/image/4119.png
承業醫,0.25%,https://biung-od.github.io/personal/image/4164.png
盛弘,0.25%,https://biung-od.github.io/personal/image/8403.png
新鼎,1.00%,https://biung-od.github.io/personal/image/5209.png
凡甲,1.00%,https://biung-od.github.io/personal/image/3526.png
京城銀,0.50%,https://biung-od.github.io/personal/image/2809.png
信紘科,0.75%,https://biung-od.github.io/personal/image/6667.png
開發金,0.00%,https://biung-od.github.io/personal/image/2883.png
美吾華,0.25%,https://biung-od.github.io/personal/image/1731.png
南僑,1.00%,https://biung-od.github.io/personal/image/1702.png
漢科,0.50%,https://biung-od.github.io/personal/image/3402.png
長榮航太,0.75%,https://biung-od.github.io/personal/image/2645.png
耕興,0.75%,https://biung-od.github.io/personal/image/6146.png
資通,0.50%,https://biung-od.github.io/personal/image/2471.png
大盤,0.00%,https://biung-od.github.io/personal/image/IX0142.png
50,0.00%,https://biung-od.github.io/personal/image/0050.png
三商餐飲,0.5,https://biung-od.github.io/personal/image/7705.png
