股名,股價
中租-KY,109.5
和潤,68.6
和潤甲,-
裕融,102.5
台中銀,22.75
兆豐金,42.30
中信金,43.05
第一金,29.90
臺企銀,15.80
京城銀,-
和潤乙,98.6
永豐金,25.05
合庫金,24.75
聯邦銀,18.10
元大金,34.65
中菲行,79.1
捷迅,70.1
台驊,69.6
三陽,62.0
長榮航太,161.5
桂盟,86.3
聯強,62.9
華立,93.4
日電貿,74.4
文曄,143.0
大聯大,65.2
中碳,82.0
奇鈦科,81.0
新至陞,115.0
中聯資,71.3
鋼聯,110.5
永記,75.4
三福化,124.5
光洋科,62.0
明基材,23.55
捷流閥業,88.7
茂順,110.5
鑫永銓,90.7
世豐,30.30
世鎧,26.00
中鋼,19.30
榮剛,35.50
長榮鋼,94.8
崑鼎,285.0
可寧衛,201.5
日友,78.1
中興電,155.5
台汽電,47.80
久陽,10.85
櫻花,85.5
崇友,131.0
惠普,73.6
花仙子,52.2
全國電,68.8
永豐實,38.60
台積電,"1,325"
中美晶,116.0
信紘科,269.5
崇越,301.5
信邦,225.5
凡甲,255.0
晶焱,72.4
耕興,176.5
致茂,606
達興材,399.0
臺慶科,127.5
普萊德,142.5
神基,156.0
精誠,119.5
中菲,124.0
漢科,133.5
零壹,124.5
資通,50.1
凌群,61.6
關貿,98.9
邁達特,51.6
緯軟,114.0
新鼎,161.0
巨路,102.5
飛捷,105.0
中保科,111.0
台泥,23.80
華固,95.6
華固無價格,95.6
達欣工,59.3
巨漢,139.0
潤弘,154.0
根基,87.8
皇翔,43.10
雲品,45.50
悠遊卡,67.00
鈺齊-KY,101.0
杏昌,139.0
佳醫,86.0
邦特,117.5
盛弘,25.20
美時,255.5
生達,56.7
永信,57.7
中化,33.65
旭富,60.0
生泰,75.7
太醫,89.6
承業醫,48.55
美吾華,21.80
健喬,34.25
溫士頓無價格,13.45
聯華,48.15
聯華食,128.0
卜蜂,138.5
大成,51.3
南僑,39.75
茂生,57.2
黑松,38.05
中華食,88.6
中華食無價格,88.6
中華食無價格,88.6
統一,78.3
興農,43.75
德記,46.80
三商餐飲無價格,13.45
佳格,30.10
大統益,147.0
皇家可口,99.50
大東電,235.00
鈞興-KY,172.5
青新-創,74.5
力泰,91.5
寶綠特-KY,71.0
台灣積層,41.25
正瀚-創,112.0
致伸,78.2
