名稱,代碼,股價,來源,時間
大統益,1232,147.0,Yahoo,"2026-02-09 08:12:00"
聯華,1229,44.90,Yahoo,"2026-02-09 08:12:02"
大成,1210,50.7,Yahoo,"2026-02-09 08:12:04"
卜蜂,1215,151.5,Yahoo,"2026-02-09 08:12:06"
惠普,8424,73.1,Yahoo,"2026-02-09 08:12:08"
統一,1216,73.2,Yahoo,"2026-02-09 08:12:10"
臺慶科,3357,150.5,Yahoo,"2026-02-09 08:12:12"
興農,1712,46.10,Yahoo,"2026-02-09 08:12:13"
聯華食,1231,92.8,Yahoo,"2026-02-09 08:12:15"
佳格,1227,28.90,Yahoo,"2026-02-09 08:12:17"
中華食,4205,78.3,Yahoo,"2026-02-09 08:12:19"
黑松,1234,37.00,Yahoo,"2026-02-09 08:12:21"
茂生,1240,59.9,Yahoo,"2026-02-09 08:12:22"
杏昌,1788,136.5,Yahoo,"2026-02-09 08:12:24"
生達,1720,60.8,Yahoo,"2026-02-09 08:12:26"
中化,3716,33.80,Yahoo,"2026-02-09 08:12:28"
太醫,4126,79.8,Yahoo,"2026-02-09 08:12:30"
中聯資,9930,69.3,Yahoo,"2026-02-09 08:12:32"
佳醫,4104,76.1,Yahoo,"2026-02-09 08:12:33"
邦特,4107,120.0,Yahoo,"2026-02-09 08:12:36"
健喬,4114,32.40,Yahoo,"2026-02-09 08:12:38"
中興電,1513,163.0,Yahoo,"2026-02-09 08:12:39"
華固,2548,106.0,Yahoo,"2026-02-09 08:12:41"
根基,2546,85.1,Yahoo,"2026-02-09 08:12:43"
潤弘,2597,168.0,Yahoo,"2026-02-09 08:12:45"
達欣工,2535,69.8,Yahoo,"2026-02-09 08:12:47"
台泥,1101,25.40,Yahoo,"2026-02-09 08:12:49"
巨路,6192,121.0,Yahoo,"2026-02-09 08:12:51"
長榮鋼,2211,104.0,Yahoo,"2026-02-09 08:12:53"
崑鼎,6803,299.5,Yahoo,"2026-02-09 08:12:55"
可寧衛,8422,32.55,Yahoo,"2026-02-09 08:12:57"
櫻花,9911,85.1,Yahoo,"2026-02-09 08:12:59"
