股票名稱,佔比,圖檔
大統益,163.5,https://biung-od.github.io/personal/image/1232.png
聯華,45.55,https://biung-od.github.io/personal/image/1229.png
大成,60.6,https://biung-od.github.io/personal/image/1210.png
卜蜂,112.0,https://biung-od.github.io/personal/image/1215.png
統一,79.1,https://biung-od.github.io/personal/image/1216.png
興農,42.25,https://biung-od.github.io/personal/image/1712.png
聯華食,131.5,https://biung-od.github.io/personal/image/1231.png
佳格,33.25,https://biung-od.github.io/personal/image/1227.png
中華食,94.5,https://biung-od.github.io/personal/image/4205.png
黑松,41.25,https://biung-od.github.io/personal/image/1234.png
茂生,59.4,https://biung-od.github.io/personal/image/1240.png
杏昌,143.5,https://biung-od.github.io/personal/image/1788.png
生達,58.4,https://biung-od.github.io/personal/image/1720.png
中化,38.00,https://biung-od.github.io/personal/image/3716.png
太醫,92.3,https://biung-od.github.io/personal/image/4126.png
中聯資,77.9,https://biung-od.github.io/personal/image/9930.png
佳醫,85.6,https://biung-od.github.io/personal/image/4104.png
邦特,119.5,https://biung-od.github.io/personal/image/4107.png
健喬,35.40,https://biung-od.github.io/personal/image/4114.png
中興電,159.0,https://biung-od.github.io/personal/image/1513.png
臺慶科,101.0,https://biung-od.github.io/personal/image/3357.png
惠普,75.3,https://biung-od.github.io/personal/image/8424.png
華固,111.0,https://biung-od.github.io/personal/image/2548.png
根基,80.2,https://biung-od.github.io/personal/image/2546.png
潤弘,-,https://biung-od.github.io/personal/image/2597.png
達欣工,60.6,https://biung-od.github.io/personal/image/2535.png
台泥,27.15,https://biung-od.github.io/personal/image/1101.png
巨路,102.0,https://biung-od.github.io/personal/image/6192.png
長榮鋼,90.8,https://biung-od.github.io/personal/image/2211.png
崑鼎,298.0,https://biung-od.github.io/personal/image/6803.png
可寧衛,181.5,https://biung-od.github.io/personal/image/8422.png
櫻花,-,https://biung-od.github.io/personal/image/9911.png
日友,77.2,https://biung-od.github.io/personal/image/8341.png
崇友,113.0,https://biung-od.github.io/personal/image/4506.png
鋼聯,108.5,https://biung-od.github.io/personal/image/6581.png
捷流閥業,80.2,https://biung-od.github.io/personal/image/4580.png
茂順,115.5,https://biung-od.github.io/personal/image/9942.png
世豐,40.00,https://biung-od.github.io/personal/image/2065.png
永記,77.5,https://biung-od.github.io/personal/image/1726.png
永豐實,42.50,https://biung-od.github.io/personal/image/6790.png
中租-KY,122.5,https://biung-od.github.io/personal/image/5871.png
裕融,109.0,https://biung-od.github.io/personal/image/9941.png
和潤,72.1,https://biung-od.github.io/personal/image/6592.png
兆豐金,40.05,https://biung-od.github.io/personal/image/2886.png
台中銀,21.05,https://biung-od.github.io/personal/image/2812.png
台積電,"1,045",https://biung-od.github.io/personal/image/2330.png
崇越,273.0,https://biung-od.github.io/personal/image/5434.png
中美晶,97.4,https://biung-od.github.io/personal/image/5483.png
信邦,227.5,https://biung-od.github.io/personal/image/3023.png
華立,103.5,https://biung-od.github.io/personal/image/3010.png
神基,125.0,https://biung-od.github.io/personal/image/3005.png
晶焱,74.5,https://biung-od.github.io/personal/image/6411.png
大聯大,70.0,https://biung-od.github.io/personal/image/3702.png
聯強,73.4,https://biung-od.github.io/personal/image/2347.png
中菲,121.5,https://biung-od.github.io/personal/image/5403.png
精誠,115.5,https://biung-od.github.io/personal/image/6214.png
文曄,123.5,https://biung-od.github.io/personal/image/3036.png
日電貿,77.7,https://biung-od.github.io/personal/image/3090.png
關貿,94.4,https://biung-od.github.io/personal/image/6183.png
零壹,110.5,https://biung-od.github.io/personal/image/3029.png
邁達特,52.1,https://biung-od.github.io/personal/image/6112.png
普萊德,146.0,https://biung-od.github.io/personal/image/6263.png
三福化,112.0,https://biung-od.github.io/personal/image/4755.png
達興材,255.5,https://biung-od.github.io/personal/image/5234.png
桂盟,96.6,https://biung-od.github.io/personal/image/5306.png
中菲行,74.8,https://biung-od.github.io/personal/image/5609.png
台驊,72.7,https://biung-od.github.io/personal/image/2636.png
元大金,32.90,https://biung-od.github.io/personal/image/2885.png
